user_id,list_name,list_id,createTime,updateTime,description,trackCount,playCount,authority,specialType,expertTags,tags,subscribedCount,cloudTrackCount,trackUpdateTime,trackNumberUpdateTime,highQuality,musicId,userLikeId,hotlist
386859728,我曾踏足山巅,3174742958,1577980800,,,19,24,,,,"['金属', '朋克']",1,0,,,True,"5280751,36199725,25843038,307679,528272281,509512457,37955049,1331997081,394809,29738938,1293951568,411259290,381825,381821,525251275,461584268,531121304,28606738,167595,",,"4884595995:481336063,4927964406:1831772229,4921668335:391194506,2859299499:1,4896678660:438036745,"
57325592,每当雪花纷纷飘落,2881777541,1562947200,,,31,414,,,,"['思念', 'KTV', '经典']",8,0,,,True,"28095034,504826080,405597568,306709,25643420,60280,25650033,228618,26608741,229010,25707139,254191,188459,152392,153792,94576,253265,150996,118940,436346028,168091,28793140,190449,300062,187134,28427772,532572730,376417,1317420612,188649,186315,","484590479,1538163694,1474724866,1573730196,594142961,548938074,630339820,1674431551,","153607696:103326036,"
1333306333,国荣,4911983047,1584028800,,,13,51,,,,"['华语', '孤独', '80后']",0,0,,,True,"186833,187408,188575,187786,187083,187076,29343375,188489,187374,26075355,186453,186421,29343393,",,"2383948959:353800166,"
335254279,Lil Peep Gustav Åhr Hellboy crybaby,3100160536,1575129600,,,235,3299,,,,"['欧美', '说唱', '朋克']",11,0,,,True,"517565375,1403345204,1403345203,1403346129,1403345200,1403345199,1403345202,1403345201,425136195,425136197,425136196,425137181,425137182,425137180,425136193,425137178,425137179,425136194,424262115,468878138,425137148,425137152,425137147,425137151,425137149,425136157,425136160,425137150,425136161,425136159,425136158,501220240,501220239,501220241,501214269,441491995,447280938,421423165,421423205,421423163,421563052,421563054,421563055,421563050,421563053,421423164,454231654,451701039,454231652,454224751,454231653,454224752,454224753,454231655,443277102,454224755,454224756,454231657,454231658,454224757,454231659,454224750,553901066,553899130,553899131,553901067,553901068,553899132,553901069,1357705219,427139370,473571554,1309896153,439911156,1348533889,1323756567,1323826426,1322299139,1318807653,1323827354,1323827350,1323826424,1323827352,1323827353,1323827355,1323826428,529824285,1360909319,498286599,498286605,498286604,498286603,498286602,498286601,498286600,468817033,464015699,553948229,518896639,1356382699,553941782,556203332,521418412,1319690134,1310906489,557583238,1323827356,1323826429,1343425409,1313376173,487190571,487192528,426027787,438456240,481859327,471763675,1403346128,1403346127,1403345197,1403345192,557581230,553929548,423228508,487192522,487192523,487190565,487192526,487192524,487192525,487190568,487190567,487190569,487192527,469744696,458496080,418603954,418602946,418602944,426027727,426026734,426026733,426027728,1398844018,423228504,496619988,486814227,467390408,516320045,526982524,418603957,1403345198,1403346126,1403345196,1403345195,1403345194,1403345193,1403345191,1403346125,554242810,440208649,442867488,427139368,530986385,1309903514,1300187461,1400258923,1400258922,1400258921,464192431,431534348,1316718892,520458583,522862965,518904465,1319690132,515816196,1391606590,1300184429,1300182984,1300184430,1300182985,1300182983,1300184431,1316563766,1317145025,1317145028,534539509,1336856381,504685817,466122232,504685031,472752209,449578436,474574947,429450360,488641095,494858104,472821089,450048110,452814931,468817361,461124341,421160226,431259771,463840125,471969542,504492275,484732306,495218120,488641092,459720812,440207747,516320031,483242654,467952056,557579777,520459605,529619035,480768756,479408074,471566606,463842501,449818284,446512635,440208717,436046910,431096940,438456230,429261068,520461588,425684466,425828384,425684467,425828385,425684468,","553473523,1487042370,401544103,1531455739,406501080,336316749,1719126654,353365013,","616421301:296337841,2754247806:354993525,583111380:53703618,1995987389:404895181,"
609940942,ᴜᴘʟᴏᴀᴅᴇᴅ +,2876788315,1562601600,,,410,18239,,,,"['小语种', '舞曲', '网络歌曲']",177,0,,,True,"1427728976,1427730135,1427728535,1427730328,1427728755,1427728814,1427730521,1427729021,1426178559,1426176702,1426164969,1426163562,1426163599,1426164411,1426164157,1426164040,1424014513,1424032096,1424028372,1421574761,1424022734,1424018081,1424017420,1421614115,1421613551,1421613516,1421584089,1421572523,1421572354,1421572184,1415784947,1415785964,1415793068,1415785828,1415784792,1415785564,1353562576,1415784447,1415785348,1415784286,1415160546,1415160464,1415160335,1415160331,1415160287,1415157110,1415153572,1415154643,1415143791,1415143502,1413183734,1413185258,1413185260,1413183733,1413185259,1413185257,1413183735,1413183695,1413183707,1413185216,1413185285,1413183688,1413183634,1413183603,1412202619,1412202816,1412205606,1412181461,1412181187,1412181087,1412177961,1412177798,1412177797,1412179640,1412179844,1411582316,1411578904,1411582576,1411586155,1359890381,1359885959,1359885960,1359890382,1359885961,1411578481,1411578356,1411576777,1411576427,1411571830,1411575253,1411571832,1411575254,1411575255,1411571831,1406642507,1410021450,1410021399,1410018852,1410021225,1410018726,1410021089,1410017615,1410017638,1410018261,1410018271,1410018262,1410018245,1410017614,1410018263,1410012713,1410011970,1405650149,1409076744,1409076745,1409077472,1409077470,1409076642,1409077277,1409077161,1409077099,1408554944,1408556533,1408555018,1408556562,1408556504,1407222828,1407223591,1407222848,1407223584,1407223576,1406638542,1406642319,1406642334,1406638501,1406616782,1406616818,1406625039,1406625040,1406616819,1406067375,1406069755,1406067156,1406067083,1406064911,1406064800,1406062881,1406064675,1405096859,1405103193,1405102379,1405079412,1405102064,1405102269,1404663540,1404660265,1404660109,1400765079,1404658688,1404655650,1404637758,1403756301,1403756305,1403756303,1403757336,1403756307,1403756306,1403757335,1403757338,1403756304,1403757339,1403756200,1403757987,1403764137,1403764175,1403286013,1403292196,1403285974,1403288956,1402868282,1403288560,1403283621,1403283622,1403280974,1403280924,1402864525,1402864483,1402868188,1402862004,1402861851,1402861824,1401922671,1401922625,1401905934,1401905935,1401909467,1401909355,1401905824,1401909359,1401909358,1401905823,1401909356,1401905825,1401909360,1401042632,1401042575,1401040005,1401039965,1401039910,1401039627,1400439964,1400439882,1400440310,1400439725,1400440186,1400440159,1400439560,1400440121,1335565907,1399674202,1399674089,1399674195,1399664872,1399667685,1399667453,1399124270,1399124146,1399118830,1399118663,1399119723,1399118503,1399119377,1398274520,1398274695,1398272716,1398272534,1398274246,1398274210,1398274267,1398274156,1398272400,1398272399,1398272398,1396943202,1396955116,1396953275,1396949986,1396949971,1396943076,1396939721,1396939645,1396366393,1396366385,1396365775,1396366405,1396365460,1396365433,1396366357,1396365373,1396365414,1396366273,1395794732,1395792276,1395785820,1395789406,1395792151,1395789349,1395785859,1395785800,1395784946,1395785730,1395785609,1394144195,1394153253,1394144541,1394155167,1394144820,1394144284,1394153441,1393369701,1347396073,1393369290,1393369519,1393360697,1393360714,1392798115,1392792983,1392797036,1392793928,1392793740,1392792841,1392792828,1332014018,1392141619,1392136958,1392136793,1392141173,1392141131,1392136531,1392136495,1384248555,1384248556,1384248557,1384248558,1384248559,1391252256,1391252500,1391251513,1391252137,866311170,1390453157,1390451914,1390451886,1375516332,1390451865,1390451699,1390451651,1389838565,1389840377,1389838485,1389840280,1389840272,1389838653,1375916761,1388996983,1389039904,1388996915,1389002209,1389002143,1388995941,1371028734,1389002255,1388999248,1388578768,1388578735,1388578736,1388584390,1388578734,1388584360,1388584375,1388584347,1387608357,1387608331,1387608137,545343663,1387608203,1387607241,1387608077,1295695189,1386701351,1386703025,1386701214,1386703173,1386701156,1359824785,1359824786,1359827991,1359827992,1359827993,1359824787,1359827994,1359827995,1359827996,1384311797,1384318060,1384311765,1384309987,1384311786,1383909181,1383909206,1383904853,1383909232,1383909290,1383909125,1383219886,1383219887,1383219888,1383219889,1383229138,1383219849,1383229095,1383229104,1383219841,1382561312,1382561290,1382561263,1382561203,1382561156,1375898917,1381583047,1296860462,1378461450,1378461418,1378461416,1378461414,1378461419,1378461420,1378461415,1378461417,1378463119,1378055500,1378064650,1377342400,1377343225,1377343226,1377343227,1377342641,1377342698,1376900233,1376902188,553754205,","41518578,1344667404,469723721,1887030532,283952725,77303863,495058333,1539383388,","427029347:307509113,82981914:72913895,161356054:53654839,2524382185:121308319,599893071:248077383,"
329025369,來來來，我們一起聽,3114040268,1575993600,,,537,586,,,,"['粤语', '思念', '钢琴']",11,0,,,True,"1340039317,1316460171,1310469265,24125636,864647456,1358276770,1407959794,29761140,18212701,31081197,18615519,21615181,17405587,410654865,169794,112692,454966480,35678874,1297743420,35678876,436487058,408277752,29535349,574935156,1349093690,447280074,27210834,26783159,1418316824,27698149,1408122638,157276,1403215687,3951074,505918397,512206645,465921195,1386380050,317641,490755715,447280693,1401790402,1393178113,34613072,411315870,530057145,547033571,574925509,25794010,1300594527,525238795,451169473,454887975,26830597,1414854632,3199897,1365131963,1365131962,1365131967,176499,421423806,376592,74550,215973,526464293,412902075,208902,513357062,1411749457,67596,28569859,1409980619,447280042,422104926,1407794268,1408220694,1410092099,437311249,1364616966,1409540467,110146,29723028,5257371,29723039,1335968354,1379148912,1383923446,22822318,534542079,1408869103,1408954296,1408867660,1408944792,1408941728,1408941731,28111646,41644404,1399413450,255809,1299570329,187411,25643271,296835,139339,287631,287180,287305,26484510,4875569,287186,287217,287182,287178,287427,287586,287578,287627,28427786,1336856864,1313354324,1365898499,1369601580,1391808696,139385,202373,108119,298025,298317,33162226,94961,169185,1360802561,474099732,1378085345,541480238,569213220,5249677,436514312,5232465,449482649,26620756,139357,208889,30590559,208958,27770233,135023,135139,135026,185824,185751,135111,135025,1306507665,5251447,296837,547976490,277586,29775848,30431376,416552313,443876167,299757,27588992,31514406,299510,299036,28038062,5233049,255677,25699066,300055,254485,254452,141288,287565,296883,299650,28341146,234023,187310,27808058,27483322,27514477,27713997,406737465,27747288,27538067,406730565,27538066,27808898,254559,254490,254355,254469,254438,254211,254425,254444,25949864,254315,32807083,254499,254589,254574,254337,287039,287620,287251,287063,287035,287719,178993,191528,94656,94682,28111608,299981,28068315,27867428,34834450,31889842,26467599,300136,65766,308353,26353080,2529472,407839677,472835869,1378282781,190382,190435,188215,110091,110009,109978,31877536,31877467,31877636,109998,27904086,35848808,28427760,27946600,233946,29450548,30612793,449818741,1380262830,479598964,1404884182,1381755293,550138197,1314780641,29785141,35691625,25713020,25713024,27713714,285085,1404885266,1407214788,38018406,19207078,19207077,19207074,1362009196,1374056689,31246555,94598,328311,329696,328218,328171,411928351,1332041722,444058254,480769653,1406696738,1372402766,1367449472,1367449469,1390708844,1390710115,1372406028,1367449470,5245925,1302132281,36024988,1387134963,293948,294052,108539,350616,432509483,256468,209008,208937,27747328,27747326,208938,185700,297480,28310707,25699022,25699094,1383841268,25698048,33223321,1348774695,277325,33854083,531040038,499793180,94365,1390026519,277686,277822,541687281,188384,86849,65198,299604,299352,276225,5256469,187374,32785700,300587,253924,115162,298880,347230,186436,110805,190563,190380,188674,189987,189315,191232,28949444,412911436,138793,297938,297885,298181,297899,297951,5239889,532776368,1382170172,478229655,504425882,1325897785,550124215,425710034,25718007,294722,368873,258971,259365,258684,277121,110767,277615,108331,407002091,394670,413142580,255660,28838055,409031573,255947,108370,257098,256470,316435,67572,65900,26034823,316627,316702,27483199,25877506,28160882,316735,317123,28481103,65778,186331,64093,65855,316488,65549,28160879,64293,64048,1306371615,64803,34509415,27867449,64638,64634,64443,66272,65800,64566,65923,316583,26034821,26034820,316407,307952,308023,1331292769,307935,307995,1351743678,33471531,308299,34229036,1305367734,307937,1380100575,460873724,25657581,26039322,26031143,518686211,1364190366,316509,316691,316756,316938,316654,316486,29593497,1348461655,1335057956,1317743071,1351743204,571339484,26620455,480286151,1384527426,1374489910,1370007645,16589075,21158011,1338289201,299521,1377700719,26548584,864043623,1386977828,483630786,133989,1375466014,549662180,31514398,1357085035,1336510669,1329820228,18449233,16336956,115569,1382596189,20958806,1396377448,1295466453,523587373,1396973729,1363948882,64106,1337761764,432509172,502043537,516323185,208950,1309715770,523041065,556220632,28852629,1349878972,528769768,1344819664,445666827,1365797095,453291393,1334055306,505394696,31719603,27469632,481537371,452601948,473859879,28496071,473940855,1696948,477969525,863949788,35513027,81979,28819985,1345336657,441107880,40249713,532776335,502576845,476659144,1302091099,5250048,1392089153,864379991,36872361,1404906595,504264243,1373168761,29463484,33638527,461124095,1387157948,22064666,526470374,1304857466,17455854,540333218,1318120183,1335350269,27725416,1368704646,29897440,26830847,574347194,28240957,","1421414439,1411649724,289733276,415599113,3233311973,1993909470,1456011647,1988675658,","4884595995:481336063,4927964406:1831772229,4921668335:391194506,2859299499:1,4896678660:438036745,"
