list_id,musicId,userLikeId,hotlist
 11254462|,368767$331307$192384$26075514$344942$331321$26604159$330852$234070$29408985$234507$28111624$110802$26608795$28111271$27591222$28068320$82150$86849$224086$308353$255870$214455$333276$316679$288133$26122205$27713951$27591219$95578$224837$66680$28111645$65198$255604$|,338826670$109988956$105370893$85098957$129985319$265425091$265432054$265379988$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112545545|,17709084$17709085$17709086$17709087$17709088$17709089$17709090$17709091$17709092$17709093$|,126195641$130402847$1858112436$1333005459$263543711$108292679$621951801$511182129$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 11254576|,20200830$22599297$19282070$27861734$27927427$22428539$19808594$1308126$17616138$27036676$20200838$19558673$22281622$27725429$17616212$16295596$19558676$19419488$19943227$19500298$19282117$22368235$27086325$17271121$17740173$18618733$17335979$5149886$17271134$21099428$17271147$27037914$2009242$19933172$18780578$4357828$27907933$26762834$1711027$17616273$26358054$17456136$|,271720477$593972006$442055013$1794870210$1482925702$408212546$637419447$422368937$|,541286625:34494926$
 11254642|,482386469$1316460171$512365425$286966$25699068$307780$25698046$406475388$526464293$28256015$28256016$29769313$421423806$468513829$29771436$512085302$452986458$442314991$512099011$350760$407002483$29803271$427609090$4875075$405597568$5351605$29418971$29544495$405377706$306688$287025$419077199$223689$33556491$27646463$26584453$28152008$28699298$31473269$210281$286970$25698048$256093$32507211$28819878$5234402$342340$266627$342349$274492$342343$5261918$5264860$284961$5230903$26038933$309777$205342$5256469$25638783$277584$29600711$5356977$296835$175956$303365$27538223$4877006$306662$252731$252695$29431232$209914$28285911$206853$27804029$208083$293601$28427631$28191916$28793140$29032001$298194$287540$254610$26348068$25640789$5248755$319296$306975$308801$307162$274863$233894$25702350$327233$306626$26562383$27538286$297711$233962$26609161$342351$327225$205267$362393$28285910$277364$291297$26418130$256624$28018072$255808$232758$28481162$316169$208942$327096$209707$25714102$28568244$307514$298371$233866$26902923$26590223$238630$287717$229401$276904$28283346$239566$233967$295779$296836$27698908$223814$282977$254253$208075$25638102$376840$210089$239370$306907$208087$247809$247807$280724$273971$307298$260428$260420$299055$5250181$362391$326997$27483319$293754$298213$28314045$308879$64317$26211175$205730$256833$327781$300998$274523$333132$252727$304830$247488$231412$308519$274447$333024$252794$308884$306672$25643280$25643566$287063$238659$274517$274449$332816$274519$274510$306983$366295$252767$256621$25640291$220212$254037$25641640$294035$344422$239682$238632$238667$238646$298850$254132$245380$235643$257090$303281$392646$280922$287499$287524$255497$307043$27713963$212304$238648$286684$235962$308739$278428$255907$28314055$4872640$368727$254098$247523$327090$25640640$26348066$298838$26038818$159428$311007$254191$307684$280118$223801$25713020$25641220$350907$246240$26211159$329994$297590$254028$255504$223625$27937940$325585$230299$247490$239562$25640625$27483290$5252288$5253687$230522$5245937$287719$|,478587222$422285369$429681473$554802173$1350767891$1406051401$18633408$1565607441$|,864833663:63219614$2584682150:593647533$135818128:49810003$
 112546935|,22842156$29307003$5407959$34152138$26136973$27890020$32648782$28959138$28406501$32317704$22840891$32526073$29122216$22833991$22829906$26549683$26115278$|,|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 11254731|,28285910$32507038$4461906$28387590$27724082$27591236$273800$247821$189862$254005$253945$27501813$22854163$383091$27731537$392522$|,246610171$499333681$560803637$431858396$105751925$274856298$275287012$134181414$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112547420|,26271929$17285338$26350246$29732652$209506$27804336$26429346$28121050$30830986$31421810$28761177$30706066$32019002$28730265$30612320$26268890$29910080$26544456$28457387$29095410$28926971$29023501$29491453$33035837$33599017$|,335355651$333427594$271229198$398339853$333298804$253653632$103640943$92901611$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112549552|,437605808$405377576$32046267$32548784$33984675$35283616$33190605$33735727$31134212$32166171$28003585$30394423$33314370$29802078$32431899$25786727$28071895$28775815$31594198$27192327$28755335$32102752$29950291$33211434$32807699$|,445972414$1554994266$425077392$1640438227$85860821$432989128$108364611$294611177$|,411863212:42689902$153722589:123323363$512179614:57157506$103262631:46517281$162532247:119207501$
 112549570|,1940301$33035066$32431987$507795651$27671178$34880391$36199827$30070138$28692785$22840039$2068608$2068708$35845177$2051389$1600114$28312036$31284417$4250011$29803228$3404044$30064171$29950374$28830767$19885534$17804651$19851815$2870203$2864723$18858435$18622175$18228482$2925502$27552251$17152989$26524290$28718313$1774229$27946718$|,517783079$1916713304$594566084$1698647905$97283927$509760851$1929121831$1945521653$|,88996565:49767318$9804694:3294221$29714565:37016035$38351895:6717576$3292858:1916511$
 112550437|,590465$590468$590471$590476$590481$607619$607622$607625$607629$607632$607634$607636$607638$607640$607642$607643$607644$607645$607646$607647$607648$607649$607650$607651$607652$607653$607654$607656$607658$607660$607662$607664$607665$607666$607667$607670$607673$607677$607680$607682$607684$|,1599341462$249634020$1933242032$438332404$1689793424$1750639105$316315460$66990961$|,2400073223:445106697$549667461:272409029$43516451:41170732$116539011:44033417$971559497:280090782$
 112550663|,24913059$1805265$24913050$18278288$5276810$28043397$2852279$20948205$28631445$5165086$29950236$25776454$1772593$22559543$29099227$28908573$4462879$33913743$5259435$28838017$25731821$29170087$32689326$25042956$1049115$22006157$24913054$1938623$27256793$28563288$16691428$1715935$26883021$27256820$27061157$24906256$1458237$27114385$5173134$27242067$24176992$22250815$29539597$27192237$3965310$1213309$18279891$4265593$1201494$22600820$27221398$22373424$26584877$26822443$5164994$22000530$5164962$26731543$25954841$25861072$5189652$25861070$21184600$20768932$20768914$25830063$26883751$25230074$25230073$25230069$25230062$27182195$22534931$1145380$2541477$25230070$25230068$22543917$22512110$1805228$26883013$22600928$5160803$22287868$5059351$26090121$22609911$25821511$20675014$27708297$30031809$22503869$22243751$26789938$1778976$5168401$22209123$27567099$22341399$18001009$22590061$1501811$27682727$22571253$25295034$22483836$5057458$31260313$2123634$1461530$5276818$25842621$1213304$25729684$27200546$21095272$22341401$1501606$22341167$25936789$18565935$25813883$25813886$|,113888688$33041450$1986489679$615509683$277908612$314528195$7308872$393358030$|,62437358:6348971$2271971202:260257902$105950568:54614223$
 112551606|,|,480282755$431492076$134096896$77706951$390171026$63823584$339308304$333372123$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112551851|,726811$31010566$28941711$38679918$30251270$440239158$450041375$510213198$479979547$28798748$31654660$474739593$1989359$29012014$26115345$445844962$28996501$33004508$31090497$28364361$28250504$34609121$22669745$496219$4886807$28082570$31917314$21563015$28629028$36270578$26657845$28828593$2918954$20515939$22669764$32235401$32235402$427419487$427419486$411907897$41629793$29822196$30148802$29753702$461011$28977745$534178$16958959$33991808$3313757$26931060$4224657$460887$28996499$625750$26119280$27713920$1989392$31140522$1377195$27629678$22793308$|,1647136306$90900046$1532021238$343598191$279463965$305937312$467386162$493703147$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112552953|,34613621$26508116$190072$327422$224000$32752249$28208244$210281$26270153$22712173$406238$27676089$5397550$22842266$30053355$31654650$666406$588700$575083$656398$25880423$5189832$2182987$4102682$29009655$28830411$1926683$188432$190270$108157$27646786$28285910$205342$167882$28854182$27836179$25702068$202373$28191641$33668985$64317$29822018$29818120$25906124$65766$31446913$443242$156050$27804029$375328$28692519$1297650$498096$185700$326997$25788001$176053$277302$277364$29722263$28661564$4172700$29814898$108242$27731172$27678655$5255798$27591444$380428$139377$386844$20744788$|,125798070$41330248$122485042$96066007$112530696$13910536$126589092$95699050$|,3177310560:41751076$3183434682:1718995$3156301003:402946199$3183985860:201586$3087582965:355622365$
 112553609|,28299181$19168459$3406726$3314177$296885$375394$63538$29814898$32835565$36947839$375892$31877466$28059417$69827$205449$306920$29444026$65126$274686$157808$5264850$254574$257524$22481460$176924$106368$306575$64833$26244421$31473269$327089$28793506$27937429$25707139$27937432$210842$108224$4875756$5260494$186260$244681$26620821$86849$480680$26113988$301035$28018075$25657348$187738$31877244$186385$108242$307525$234015$190246$144630$186560$187893$26524510$187787$28612974$299601$2923416$5295207$4252179$27671157$1315441728$82190$307684$205342$375667$1615656$22429109$86316$18658960$4875304$26550057$276711$27937527$190360$175991$306662$429348670$28341146$108370$282920$317245$316654$456370709$300136$239159$65078$190078$326784$26217337$393019$26484066$257509$411907408$211379$189236$28793502$216744$190424$25718007$120694$28481103$26207292$326880$65769$28732222$25729046$26494680$287627$4252287$189315$187776$307057$187819$256374$31311140$523251118$287063$32619064$5252288$108143$29723022$512376199$29710981$189873$29713754$223935$28208046$316756$187996$233967$28406532$29481242$574919767$27713963$27583525$144083$1313425126$144619$1883355$4875753$4875755$326990$4351614$498210$3819561$25706371$382501$362996$233866$233882$362998$2182960$185904$29722543$1235625$190495$28798921$17059176$5055766$186016$5141034$17386592$512359203$21563015$185809$25638322$287231$27506284$186018$21234462$110167$21234420$25780421$185854$185859$185861$229401$254074$254102$28819421$34169285$28219176$176053$26418130$25702068$186139$4875970$4874225$27902098$29023553$326965$187905$187908$65800$25888385$18981909$20942973$25159656$5400327$411921359$21563214$21562979$5039309$16435049$26322057$20942981$27514868$21563205$25706383$21563004$27927008$2117228$31654343$32924539$212729$27678505$65525$191232$5251021$5043882$16431842$64886$27515086$385787$29450548$1297941$27697195$18794225$17939827$28111224$28639182$18981969$18981967$27853739$30569035$1934649$3025239$3025202$25657241$149297$159394$27836179$65337$277382$110043$25639286$393305$21674656$16432043$16435051$2117009$26217232$2871309$28586064$28531849$2188235$25731738$21373645$139385$28815250$28563317$109172$31234853$29436904$25638240$393703$233968$22830017$30612793$25657253$|,248832573$1884327113$1326949586$1919796690$1704665612$550714145$1728640467$1946928697$|,321048854:127746547$489421780:251169143$
