user_id,list_name,list_id,createTime,updateTime,description,trackCount,playCount,authority,specialType,expertTags,tags,subscribedCount,cloudTrackCount,trackUpdateTime,trackNumberUpdateTime,highQuality,musicId,userLikeId,hotlist
1560943357,[日系]傍晚，日暮降落之时,2371761273,1534521600,,,83,6260,,,,"['日语', '午休', '放松']",83,0,,,True,"438462344,512359195,440411022,26830207,26447698,29732992,536622304,31421442,413834590,22660461,32544922,25638306,33233915,22716686,22716690,436147496,1316375467,28497250,559047,22707020,27485090,557474,27548280,481523499,408328050,27538416,25922284,22781037,694286,740611,443242,624751,722932,610830,22712173,31861269,22707008,480353,28762281,28762749,448119,38689152,28762237,28762241,28762253,28762212,28762211,29017264,22748787,740558,656405,1297743786,32317208,579954,496869422,610661,28885472,22779933,27632799,33911781,530507,469742,22707003,691506,444312,785902,578090,469772,586299,28411784,28411043,29379784,31273654,740579,620487,740765,523567,22779936,22754969,701034,482172,584155,740530,","350323305,129147756,423794081,52582064,1733908898,1345609214,254435069,10668412,","150570682:35452761,"
1415105425,听音乐首选,4914221726,1584115200,,,349,38,,,,"['欧美', '流行', '运动']",1,0,,,True,"116348,320950,28442709,171269,188585,188489,186619,5265772,1388334766,493784861,1356147383,29818352,527601001,525734920,1425818683,507903881,1320068263,1365268528,26758474,35416283,27583305,1341359810,1386593207,1397039304,1353785994,1353428173,19572271,1432427879,1364338800,433018366,522511677,1365013523,1347814906,1427444926,29728259,1356658022,1376076133,1343109819,487454620,462895657,428591384,405226741,1351582257,864041038,483024028,517542039,461544126,1421191995,33190545,32835565,1392423401,512359195,536622304,485355004,512358200,512376195,1318880077,1369903412,512359198,512359196,1418457693,512376191,432509390,28445990,512377169,22654573,1390397310,22691083,512359194,459717901,536623987,34033274,1361913825,186842,26090155,1432101409,16158404,2918954,572166420,1392089153,511694413,1401302505,2122732,29401226,504587524,29775709,999433,19781724,1320591862,28402345,2526625,1363205817,1417113061,95410,144513,65766,63968,60263,115502,442869386,28815250,1422212205,1407222910,27646786,27062529,3949444,1417496128,423406119,64634,64317,1345904900,1317251063,39122683,551970345,404784815,29809963,484730037,1367983198,1378624963,1383143892,28850659,522351083,34072520,502238344,1411775793,1349965887,32619105,1422992414,569213220,1334295185,115569,115162,30431364,421423808,421423806,66282,65536,65800,65533,526116053,1374329431,28481189,545350938,1426775937,30953009,31789010,19292984,451703096,36668810,522444650,411314681,569734247,4341314,31356499,505449407,2919622,475072054,39224884,36496695,566977275,439076364,441491080,1428299645,410654865,506092035,455500439,1365398014,1338490248,27959259,563733742,441491410,500410102,418603177,401249910,1344644402,1338149101,28859948,1351219081,1347133940,19945735,27759600,494865824,28639182,28464997,29019227,447925342,26199445,31654455,1403699842,1331880361,29561077,32139848,419594258,1369828361,4153366,39324743,552145020,1210461,1338098071,1518938,29480187,1314777725,24953439,472361096,30780496,483156032,17706562,27515086,484365611,16483438,31081299,501133798,37955044,16232697,409916250,1377450530,4386589,1320544645,491271737,29806043,1379628076,17753288,4038411,402070513,1369930486,455653437,550936829,1398843537,26429346,511678913,1333863852,29966565,1386685983,1303019276,20110049,1428834407,493394429,17793698,21563184,33035611,507795651,30394891,1381290206,29722263,25657274,29592100,444269135,1343492095,17112299,572763271,1297841,30064175,1296896326,29307038,501220770,26243686,1314353013,3986241,509728806,544553108,407839677,482246882,28593175,34040716,492145159,28263911,444324644,471411253,472045959,21792987,448749148,1339216146,1373835581,430114655,1394494933,515540639,500412390,1403250178,37955047,29542751,504265014,418603096,555974038,1217823,31654478,16959121,1296410418,2411634,487375361,544247584,18638057,32337953,1401302504,1356146948,1371427950,4172700,21301195,518904648,1385738126,417250187,442562232,36492681,31090820,29947420,2923416,479223413,32019002,28923579,543987451,473817398,29797698,1324159296,32835377,440208476,437909145,472361236,19542337,36990266,426291544,439121233,436487129,29009655,456185577,418602088,423228325,480426313,26060065,1300528275,406072775,515269424,1397021895,461347998,1373168742,515453363,31010566,1297498908,1364343491,1316886701,446627373,25714173,18637919,499274178,18638059,36586669,191254,864100958,569200213,1382666583,1355147933,",,"4884595995:481336063,4927964406:1831772229,4921668335:391194506,2859299499:1,4896678660:438036745,"
581972894,愿圣诞祝福给你带来欢乐，我的好朋友。,2524884387,1542816000,,,18,3887,,,,"['清晨', '学习', '地铁']",20,0,,,True,"29544245,1334498985,27583014,29544251,37095433,445528626,37095432,3424050,22509029,1066341,1000553,16424513,445666805,448916146,29802490,29753938,22425130,25452704,","496511059,343214782,1560249647,1524143418,343028487,446057163,276315040,617355846,","2169670099:295073943,"
1665723738,混,4868796307,1581868800,,,36,128,,,,"['流行', '酒吧', 'KTV']",1,0,,,True,"1427775641,473817398,478507889,569734247,20036073,1398909242,1397226690,316686,426026646,526116053,1422785358,1374329431,539014550,812400,1300528275,518763803,1416747872,1359553799,1377190317,475072054,1368753965,1419692517,1338149101,456185577,1297498908,1364343491,480768663,414980218,1395808061,430114655,1337544454,1397293557,1421056720,1387591255,1396304601,506092035,",,"4884595995:481336063,4927964406:1831772229,4921668335:391194506,2859299499:1,4896678660:438036745,"
513590986,阿姆播放量超过1亿的歌曲（热单）,2547665013,1544198400,,,43,289546,,,,"['说唱', '欧美']",6168,0,,,True,"5052317,1297841,17572311,27853227,523250559,1299818,27902187,1300459,1297699,1306386506,17572558,1306385781,17572251,1306386504,1311076476,27646481,17572536,1362825715,1300287,17572553,518077040,1297705,1417093533,27906324,1297941,1299919,1306386508,17572318,1297709,1297713,17572297,1306385777,17572074,17572306,1306386505,17572326,1298232,1306385778,17572385,27906334,1297483,27906325,456175320,","403478609,1456495867,1675203771,1649610710,1463736472,410089692,411704900,313856862,","2471887191:80228864,131264175:102577280,365292841:100462200,56794113:56762904,729503662:326403400,"
307022327,红鹤笔记Flamingo Fashion Notes,695926342,1492012800,,,148,154092,,,,"['浪漫', '性感', '放松']",2423,0,,,True,"536622264,4351911,537407937,2934190,2308667,30394891,438803640,30431364,436487137,447079451,400689171,29578288,1699315,29592146,27510020,4397864,484056864,31010933,29802490,22834821,3621047,31081299,41554554,2332875,33190605,473602944,35416186,17072417,440208643,26933374,27571335,16333268,501220049,26114431,22761015,425280093,1070924,5273594,3976062,21223795,33469355,36509919,5162134,230483,19183595,22373637,740778,28563375,27202504,421423014,186372,35288249,27820948,29473749,419485680,230466,21783105,2872118,18212701,5053125,33223230,34557918,471761782,470601316,18680851,4372041,5057821,21224495,1383635,34383216,34179015,22821000,39449871,29393836,5416874,18499906,16966387,28707963,5405350,307714,28700277,17429736,474567208,467011775,2590624,480768678,2311098,34383459,419116016,22644099,2311530,419254951,3556842,390558,22080575,16847752,17109372,230485,208889,830839,416552622,28188038,29836519,249104,38689890,29456905,809268,401249910,417043996,3405796,32196495,26399296,2529472,461011,29836521,424995410,27809035,4278394,5170245,441491595,410628903,29582060,27552635,169932,31370984,421160207,5232284,17586467,2922542,26324176,5040110,33166802,22298854,18228491,404783920,26349642,26324166,21866057,579954,28268084,17814334,22290519,41666511,21723615,1068393,21700195,26540730,28866419,","535124474,414601829,109116652,2076350913,2074646633,375021586,30464999,1880371043,","2654387244:118824759,"
